"t_state","t_county","tot_cap","avg_p_cap","avg_hh","avg_rd","ordinance","t_manu","turbines","t_model","t_rsa","t_ttlh","fraction_of_usable_area","capacity","wind_speed","capacity_factor","area_2010"
"NY","Steuben",196.55,71.8086206896552,79.551724137931,101.919540229885,0,"GE Wind",87,"GE2.5-116",8235.81609195402,130.502298850575,0.82155,14,7.89744680851064,0.474914893617021,1390.56
"NY","Wayne",1.1,0.975,47.5,43.5,0,"Fuhrlander",2,"FL250",1651.3,69.55,0.969685714285714,16,7.02285714285714,0.418,603.83
"NY","Wyoming",432.96,106.316197183099,80,81.7605633802817,0,"GE Wind",284,"GE1.5-77",5319.71507042254,120.976056338028,0.852209039548023,14.316384180791,7.78881355932203,0.462350282485876,592.75
"OH","Cuyahoga",3.5,1.865,77.5,77,0,"Nordex",2,"N54",5072.1,115.95,0.19738,4.8,6.974,0.4264,457.19
"OH","Darke",4.5,4.5,80,87,0,"Goldwind",3,"GW87",5944.68,123.4,0.926672932330827,15.187969924812,7.30842105263158,0.396022556390977,598.1
"OH","Hancock",15,3.9,80,87,0,"Goldwind",10,"GW87",5944.68,123.4,0.908345918367347,15.0408163265306,7.28581632653061,0.437112244897959,531.36
"OH","Hardin",284.2,191.020618556701,88.5154639175258,122.969072164948,0,"Siemens Gamesa Renewable Energy",97,"SG-3.4-132",11961.3078350515,150,0.849715083798883,14.2234636871508,7.27329608938548,0.400938547486034,470.41
"OH","Logan",30.6,198.28,83.2,125.6,0,"Siemens Gamesa Renewable Energy",10,"SG-3.4-132",12518.62,146.02,0.885598787878788,14.5939393939394,7.37363636363636,0.396381818181818,458.43
"OH","Marion",4.5,4.5,80,87,0,"Goldwind",3,"GW87",5944.68,123.4,0.987351851851852,15.9259259259259,6.97518518518519,0.406740740740741,403.76
"OH","Paulding",509.6,136.460550458716,95.4770642201835,110.54128440367,0,"Gamesa",218,"V100-1.8",9839.25912844037,150.822935779817,0.973889830508475,15.6271186440678,7.04966101694915,0.416372881355932,416.44
"OH","Putnam",1.5,1.5,80,87,0,"Goldwind",1,"GW87",5944.68,123.4,0.979872222222222,16,7.265,0.436611111111111,482.52
"OH","Van Wert",234.5,296.385593220339,99.6186440677966,89.9237288135593,0,"Gamesa",118,"G90-2.0",6351.1270338983,144.680508474576,1,16,7.122,0.4223,409.16
"OH","Wood",7.2,3.6,78,80,0,"Vestas",4,"V80-1.8",5026.55,118,0.979645762711864,15.7627118644068,7.0664406779661,0.416152542372881,617.21
"OH","Wyandot",1.5,1.5,80,87,0,"Goldwind",1,"GW87",5944.68,123.4,0.907662903225806,15.0967741935484,7.12483870967742,0.417274193548387,406.87
"OK","Alfalfa",167.12,250.9,88.4,126.266666666667,0,"GE Wind",60,"GE2.82-127",12527.732,151.446666666667,1,16,8.3356,0.47752,866.46
"OK","Beaver",701.27,250.895652173913,83.3416149068323,99.111801242236,0,"GE Wind",322,"GE1.85-87",7850.19310559006,132.848447204969,0.932560032626427,15.1973898858075,8.17960848287113,0.45026101141925,1814.67
"OK","Beckham",7.5,101.16,80,91,0,"GE Wind",5,"GE1.5-91",6503.88,125.6,1,16,8.48526315789474,0.48480701754386,901.81
"OK","Blaine",234.3,894.2625,87.875,123.625,0,"GE Wind",88,"GE 2.8-127",12065.97625,149.7,1,16,8.41272727272727,0.481636363636364,928.42
"OK","Caddo",628.515,186.012714285714,82.9035714285714,110.560714285714,0,"GE Wind",280,"GE2.82-127",9833.91253571429,138.168928571429,0.943997413793103,15.3103448275862,8.42715517241379,0.490163793103448,1278.29
"OK","Canadian",504.735,233.291841004184,80.2112970711297,101.353556485356,0,"REpower",239,"MM92",8119.02824267782,130.934728033473,0.979522807017544,15.7894736842105,8.56333333333333,0.501105263157895,896.63
"OK","Carter",18,100,80,110,0,"Vestas",9,"V110-2.0",9503.32,135,0.950807407407407,15.3333333333333,7.32518518518518,0.435851851851852,822.18
